,,,,,,
FTSE4Good IBEX Total Return,"19.218,40","1,73","19.358,60","18.937,30",24/10/2022,"-8,53"
FTSE4Good IBEX Net Return,"16.860,00","1,73","16.983,00","16.613,40",24/10/2022,"-9,07"
FTSE Latibex All Share,"2.586,60","-2,73","2.689,30","2.586,60",24/10/2022,"23,87"
FTSE Latibex TOP,"5.870,00","-1,57","5.989,10","5.870,00",24/10/2022,"18,53"
FTSE Latibex BRASIL,"12.903,60","-2,39","13.285,00","12.903,60",24/10/2022,"21,60"
I.G.B.M.,"766,56","1,80","772,06","755,53",24/10/2022,"-11,05"
I.G.B.M. Total,"3.487,43","1,80","3.487,43","3.487,43",24/10/2022,"-8,13"
BCN GLOBAL 100 (Base 1986),"624,42","1,72","628,79","615,02",24/10/2022,"-6,04"
BCN GLOBAL 100 (Base 1963),"1.604,87","1,72","1.616,10","1.580,70",24/10/2022,"-6,04"
BCN MID 50,"20.713,57","0,50","20.774,43","20.638,88",24/10/2022,"-17,18"
BCN PROFIT-30,"10.228,11","1,68","10.303,06","10.078,42",24/10/2022,"-2,58"
BCN ROE-30,"14.751,77","1,83","14.823,40","14.544,92",24/10/2022,"-13,77"
BCN PER-30,"16.022,89","1,52","16.118,84","15.797,60",24/10/2022,"-4,93"
BCN INDEXCAT,"17.467,47","1,36","17.577,95","17.219,89",24/10/2022,"-22,97"
I.BILBAO 2000,"1.231,20","1,81","1.240,32","1.213,07",24/10/2022,"-11,89"
I.G.B.V.,"1.166,40","1,68","1.174,96","1.149,70",24/10/2022,"-6,63"
Índice TEF Apalancado X3,"146,50","2,59","151,50","143,00",24/10/2022,"-41,68"
Índice SAN Apalancado X3,"175,10","7,42","179,50","165,00",24/10/2022,"-41,42"
Índice BBVA Apalancado X3,"382,70","11,35","386,50","349,30",24/10/2022,"-18,87"
Índice ITX Apalancado X3,"1.376,80","8,20","1.407,60","1.279,20",24/10/2022,"-57,45"
Índice TEF Apalancado X5,"78,10","4,27","82,50","75,10",24/10/2022,"-67,25"
Índice SAN Apalancado X5,"234,00","12,39","243,40","212,50",24/10/2022,"-77,83"
Índice BBVA Apalancado X5,"123,40","18,88","125,30","106,60",24/10/2022,"-61,61"
Índice ITX Apalancado X5,"23,90","13,81","24,70","21,20",24/10/2022,"-84,43"
Índice TEF Inverso X3,"830,70","-2,72","851,20","800,80",24/10/2022,"0,84"
Índice SAN Inverso X3,"22,60","-7,76","24,20","22,00",24/10/2022,"-48,05"
